# timestamp, loading image, state propagation, network inference, EKF update, total time
1449.732654282999874,2.37500,0.59200,30.54000,0.09800,33.60500
1449.765830283000014,2.13800,0.54600,37.24600,0.07100,40.00200
1449.798920386999953,2.17800,0.67100,39.00700,0.04500,41.90200
1449.832092230999933,1.79300,0.45000,32.88700,0.08700,35.21700
1449.865304178999850,2.71100,0.65100,29.04800,0.07800,32.48800
1449.898482283000021,2.50600,0.52800,31.30700,0.10900,34.45100
1449.931658699999844,2.02100,0.49300,31.65300,0.04600,34.21300
1449.964913011999897,1.86900,0.79900,29.94700,0.08500,32.70100
1449.998036491999983,2.02100,0.54500,35.19200,0.13100,37.89100
1450.031170439999869,2.54700,0.54200,37.99000,0.13800,41.21800
1450.064350386999877,2.35800,0.61300,38.27500,0.05000,41.29600
1450.097552386999951,1.83200,0.44600,35.03500,0.07100,37.38500
1450.130649282999912,1.79400,0.40600,33.37200,0.05100,35.62400
1450.163958282999829,2.04200,0.46300,30.96400,0.05000,33.52000
1450.196995439999910,2.02600,0.62800,31.65300,0.04600,34.35400
1450.230167282999901,2.39100,0.74900,31.32400,0.12700,34.59200
1450.263340282999934,2.33400,0.50500,30.87800,0.11700,33.83400
1450.296611438999889,2.89600,0.54800,31.43700,0.10500,34.98600
1450.362862782999855,2.29600,0.92400,30.32500,0.07100,33.61700
1450.396033334999856,2.65700,0.46700,30.65900,0.11400,33.89700
1450.429282648000026,2.52700,0.45400,30.32500,0.09200,33.39900
1450.462379803999966,2.97800,0.63600,36.18200,0.08700,39.88400
1450.495594470000015,2.70000,0.52900,30.21300,0.07200,33.51500
1450.528725230999953,2.55200,0.59500,30.91100,0.06700,34.12600
1450.561899334999907,2.61600,0.39900,32.20300,0.04100,35.26000
1450.595072845000004,1.98600,0.47100,31.72300,0.04500,34.22500
1450.628247146999911,2.12600,0.48500,31.65000,0.06900,34.33100
1450.661457230999986,2.21200,0.59400,30.90500,0.04400,33.75600
1450.694595542999878,2.27300,0.51500,32.30100,0.08900,35.17900
1450.727765730999863,2.93300,0.53400,38.50100,0.11200,42.08100
1450.761039386999983,2.42000,0.41600,24.25500,0.08000,27.17100
1450.794213168999931,3.03200,0.57900,31.43400,0.05200,35.09800
1450.860535230999858,2.33700,1.02300,31.89200,0.11900,35.37100
1450.893633178999835,3.54900,1.22400,35.83900,0.14500,40.75700
1450.926866409000013,2.56300,0.44600,34.80900,0.04500,37.86400
1450.960072408999849,2.53600,0.63800,30.40900,0.04900,33.63200
1450.993247408999878,2.43400,0.51800,31.24000,0.11000,34.30300
1451.026423409000017,3.13300,1.09000,35.07100,0.09100,39.38500
1451.059593971999902,3.15100,0.63000,30.43400,0.09200,34.30800
1451.125897408999890,2.34500,0.97100,32.18900,0.12500,35.63000
1451.159111564999876,2.65200,0.49600,34.86600,0.06900,38.08400
1451.192282460999877,2.57800,0.72800,30.14700,0.05300,33.50700
1451.225416408999990,2.93200,0.52500,32.29900,0.07700,35.83400
1451.258596566000051,2.70700,0.56400,33.92200,0.04800,37.24200
1451.291762408999830,2.23000,0.58000,33.17500,0.04400,36.02900
1451.324934408999979,2.93700,0.70600,30.99000,0.05600,34.68900
1451.358149357000002,3.01800,0.51700,30.08900,0.11600,33.74000
1451.391321721999930,2.26200,0.52500,30.92700,0.06100,33.77600
1451.424454408999964,2.52900,0.55800,32.08700,0.06900,35.24300
1451.457627460999902,2.78200,0.52000,29.05000,0.07500,32.42800
1451.490839409000046,2.44300,0.45300,29.86000,0.09500,32.85100
1451.524014512999884,3.69700,0.60000,34.21300,0.05700,38.56800
1451.557188460999896,2.97200,0.63300,35.38800,0.15400,39.14800
1451.590319461000036,2.29700,0.50800,34.99400,0.04800,37.84800
1451.623491773999831,2.17600,0.48600,35.35400,0.10200,38.11900
1451.656666565000023,3.62500,0.69000,31.44600,0.05200,35.81400
1451.689838460999908,2.86500,0.47300,26.54400,0.13000,30.01400
1451.723090617000025,2.20100,0.53100,36.48400,0.13600,39.35400
1451.756184670000039,2.26300,0.47400,30.34200,0.09200,33.17100
1451.789358356999855,1.85100,0.36100,28.51700,0.11400,30.84400
1451.822637513000018,2.25900,0.57300,30.64500,0.07200,33.55000
1451.855742720999842,1.74800,0.40300,28.44100,0.08700,30.67900
1451.922049617999846,1.99400,0.79600,27.50600,0.07400,30.37100
1451.955224856999848,2.62500,0.73000,32.18000,0.05800,35.59400
1451.988332270000001,1.74300,0.44700,26.08600,0.07700,28.35400
1452.054679853999914,1.92200,0.70300,23.34100,0.08200,26.04900
1452.087929645000031,2.12600,0.43700,30.74900,0.06600,33.37900
1452.121135644999868,2.71400,0.55200,25.96800,0.06600,29.30100
1452.154198696999856,2.03000,0.48500,27.58900,0.04600,30.15000
1452.220631800999854,2.55000,0.92300,27.66800,0.03900,31.18000
1452.253715530999898,2.10900,0.64000,29.98100,0.04000,32.77000
1452.320061644999896,3.44500,1.31900,29.21800,0.10500,34.08800
1452.353234853000004,3.04600,0.70600,30.20300,0.04600,34.00100
1452.386407697999857,3.22900,0.45800,29.88700,0.10700,33.68200
1452.452698848999944,3.47100,1.11500,33.15500,0.10500,37.84800
1452.485974796999926,2.29900,0.52700,33.98100,0.09200,36.90000
1452.519118692999882,2.32400,0.46300,35.75800,0.10200,38.64800
1452.552327848999994,3.63400,0.58500,33.36600,0.12700,37.71300
1452.585390005999898,3.18100,0.57200,34.61000,0.14600,38.51000
1452.618580952000002,2.36600,0.53600,35.25500,0.20500,38.36300
1452.651660951999929,2.73100,0.66000,34.18400,0.08600,37.66200
1452.718004629000006,2.16200,0.85900,32.95500,0.04500,36.02200
1452.751180733999945,2.12200,0.44200,34.29200,0.07300,36.92900
1452.784353191000037,2.94600,0.76800,32.23400,0.08300,36.03200
1452.817468438999867,2.28600,0.46400,29.55200,0.09300,32.39600
1452.850712302999909,3.39900,0.80200,34.83400,0.07200,39.10700
1452.883813251999982,2.44100,0.48800,35.49000,0.07000,38.49000
1452.983411251000007,5.50900,4.79800,65.92000,0.07100,76.29900
1453.016504146999978,2.47400,0.62200,32.63100,0.03800,35.76600
1453.082787628000005,2.03200,0.85300,33.51200,0.03800,36.43500
1453.115960731999849,2.49800,0.64400,27.21900,0.06100,30.42300
1453.182309575999852,2.62700,0.90900,31.87700,0.04600,35.45900
1453.215523731999838,2.22300,0.57300,31.62600,0.04500,34.46800
1453.248652731999982,3.10600,0.85600,30.53700,0.06600,34.56600
1453.281870252999852,3.55100,0.62500,35.51800,0.09800,39.79200
1453.315077669999937,2.76600,0.47200,34.30700,0.13800,37.68400
1453.348212512999908,3.59200,0.82600,30.23700,0.09700,34.75200
1453.381386200999941,3.24300,0.53900,31.99400,0.08200,35.85900
1453.414564887999859,2.46800,0.58900,32.78100,0.10700,35.94600
1453.447715296999831,2.55600,0.50900,35.72700,0.04800,38.84000
1453.480897349999850,3.75200,0.56200,33.48400,0.07600,37.87400
1453.514017088999935,2.82400,0.51900,33.78200,0.06400,37.18900
1453.547151088999954,2.11700,0.42700,35.49600,0.06300,38.10400
1453.613541141000042,3.13900,1.01200,35.79400,0.10300,40.04900
1453.646759244999885,2.53400,0.50700,41.14000,0.06800,44.25000
1453.679928036999854,3.50300,0.52000,54.46500,0.04700,58.53500
1453.713013349999983,2.77900,0.54000,30.13000,0.10900,33.55800
1453.746266140999978,3.17300,0.70100,35.40600,0.11100,39.39200
1453.812533140999903,2.27300,0.97200,36.78600,0.04500,40.07700
1453.845680644999902,2.62900,1.01200,38.03900,0.15400,41.83500
1453.878816010000037,2.61200,0.72600,37.37800,0.08100,40.79800
1453.912036800999886,4.10000,0.89900,35.33700,0.05100,40.38700
1453.978332697000042,2.90700,1.08400,35.06200,0.06800,39.12200
1454.011583644999973,3.52400,0.82900,38.08000,0.08600,42.51900
1454.044749801999842,2.16500,0.45700,35.82700,0.04800,38.49700
1454.077893697000036,2.65200,1.16000,35.96300,0.09800,39.87400
1454.111061801000005,2.15200,0.52100,33.80400,0.08800,36.56600
1454.144216748999952,3.52200,0.75300,37.68600,0.23600,42.19800
1454.177452853999966,3.56800,0.47400,35.05000,0.04500,39.13800
1454.210471631000019,2.00300,0.46900,36.81700,0.09300,39.38200
1454.243738578999910,3.60900,0.76300,37.91200,0.10600,42.40700
1454.276817527000048,3.00800,0.55900,35.05600,0.21200,38.83600
1454.310030422999944,2.18400,0.59500,36.84400,0.08500,39.70800
1454.376335475999895,2.21300,0.85900,30.52300,0.07100,33.66700
1454.409551423000039,2.51900,0.58100,30.18200,0.07500,33.35800
1454.442731526999978,2.66500,0.49400,31.32000,0.06800,34.54800
1454.475933475999909,3.11900,0.73100,29.48100,0.06000,33.39100
1454.542200474999845,2.94500,1.29200,35.09100,0.05200,39.38000
1454.608547475000023,2.83500,1.05400,34.13300,0.04500,38.06800
1454.641719423000040,3.04400,0.79900,33.00800,0.17100,37.02200
1454.708075474999987,2.48700,1.03400,33.44300,0.07100,37.03500
1454.741238422999913,3.06900,0.54400,31.74700,0.11500,35.47500
1454.774411632000010,3.06500,0.63500,32.67200,0.09100,36.46400
1454.807584474999885,2.73800,0.53700,31.45900,0.09200,34.82600
1454.874010474999977,2.80800,1.01400,33.92200,0.08200,37.82700
1454.907206526999971,2.57800,0.49900,31.84200,0.06900,34.98900
1454.973547360999873,3.42000,1.89900,39.46300,0.11600,44.89900
1455.006626255999890,3.36800,0.81300,31.20700,0.18500,35.57400
1455.039839630999950,2.57900,0.75500,32.30500,0.06900,35.70900
1455.106142371000033,2.80500,1.14200,37.90600,0.07200,41.92500
1455.139322422999840,2.12800,0.50900,40.14300,0.09100,42.87200
1455.172496527000021,2.81800,0.52400,38.13100,0.10600,41.58000
1455.205667526999832,2.38600,0.48000,32.25900,0.10700,35.23300
1455.238841526999977,2.87300,0.73800,39.06600,0.13300,42.81100
1455.338354880999987,3.42700,1.58300,36.62800,0.04000,41.67800
1455.371528140999999,3.05200,0.68200,35.89800,0.06500,39.69800
1455.404698735000011,3.44400,0.58100,36.82000,0.06700,40.91200
1455.437918048000029,2.39600,0.55500,33.41300,0.06800,36.43300
1455.504218422999884,2.18200,1.02000,29.95600,0.03900,33.19800
1455.537391475000049,3.28400,0.52600,35.11100,0.10900,39.03100
1455.570605682999940,3.08700,0.74400,34.04800,0.08400,37.96400
1455.603737422999984,3.18600,0.67900,32.36600,0.06100,36.29300
1455.636989736000032,2.94200,0.52400,29.19000,0.08600,32.74300
1455.670169579999992,2.96400,0.55600,29.95400,0.06300,33.53800
1455.736375293000037,2.30600,1.14200,31.30300,0.05300,34.80400
1455.769595292999838,3.03400,0.72000,29.34500,0.04800,33.14700
1455.802721292999877,2.77400,0.62800,31.84100,0.05300,35.29700
